DocID,Vendor,TransactionDate,GRNDate,Amount,Currency,Amount_GBP
2000000000,Starlight Media,2024-11-11,2024-11-16,14410.84,GBP,14410.84
2000000001,Apex Consulting,2024-11-13,2024-11-18,8104.6,AUD,4214.39
2000000002,Apex Consulting,2024-11-30,2024-12-01,4021.18,CAD,2332.28
2000000003,TechFlow Solutions,2024-12-17,2024-12-21,4992.15,EUR,4243.33
2000000004,Nexus Logistics,2024-12-29,2025-01-03,1241.47,AUD,645.56
2000000005,Fast Travel,2024-12-15,2024-12-20,11800.42,USD,9322.33
2000000006,TechFlow Solutions,2024-12-15,2024-12-15,12944.77,AUD,6731.28
2000000007,Fast Travel,2024-12-12,2024-12-11,19914.56,CAD,11550.44
2000000008,Apex Consulting,2024-12-22,2024-12-26,6345.09,USD,5012.62
2000000009,Starlight Media,2024-11-21,2024-11-26,9903.5,EUR,8417.98
2000000010,Global Office,2025-01-28,2025-02-01,19715.69,AUD,10252.16
2000000011,Titan Manufacturing,2024-12-14,2024-12-15,4740.59,GBP,4740.59
2000000012,Titan Manufacturing,2025-01-02,2025-01-01,15008.0,AUD,7804.16
2000000013,Nexus Logistics,2025-01-11,2025-01-10,20639.56,USD,16305.25
2000000014,TechFlow Solutions,2024-12-22,2024-12-21,15157.35,CAD,8791.26
2000000015,Green Energy Co,2024-12-12,2024-12-17,16302.23,GBP,16302.23
2000000016,Fast Travel,2024-11-28,2024-11-28,22237.91,GBP,22237.91
2000000017,ABC Supplies,2025-01-24,2025-01-24,11597.87,EUR,9858.19
2000000018,Green Energy Co,2025-01-18,2025-01-23,5293.83,EUR,4499.76
2000000019,TechFlow Solutions,2025-01-12,2025-01-14,23003.29,AUD,11961.71
2000000020,Nexus Logistics,2024-11-12,2024-11-10,15481.52,CAD,8979.28
2000000021,Green Energy Co,2024-11-17,2024-11-19,2029.06,CAD,1176.85
2000000022,BluePrints,2024-11-01,2024-11-04,3187.61,EUR,2709.47
2000000023,BluePrints,2024-12-01,2024-12-05,17704.44,AUD,9206.31
2000000024,Nexus Logistics,2025-01-31,2025-02-04,10447.8,AUD,5432.86
2000000025,Starlight Media,2024-11-28,2024-11-28,12134.35,USD,9586.14
2000000026,Starlight Media,2024-12-20,2024-12-23,21079.09,USD,16652.48
2000000027,TechFlow Solutions,2025-01-25,2025-01-25,3789.8,GBP,3789.8
2000000028,BluePrints,2024-11-19,2024-11-24,16619.2,USD,13129.17
